transaction_sk,transaction_id,transaction_datetime,sales_outlet_sk,product_sk,customer_sk,staff_sk,quantity,total_sold_out,line_item_amount,unit_price,promo_item
1,1,2019-04-06T16:05:09.000Z,2,23,173,12,2,17,500,250,NO
2,1,2019-04-14T08:45:04.000Z,2,23,130,16,1,11,250,250,NO
3,1,2019-04-21T08:45:04.000Z,2,23,130,16,1,10,250,250,NO
4,1,2019-04-27T10:05:48.000Z,7,23,1957,42,2,12,500,250,NO
5,1,2019-04-10T09:22:57.000Z,4,25,1473,26,1,10,220,220,NO
6,1,2019-04-09T08:14:07.000Z,4,29,1420,25,2,8,500,250,NO
7,1,2019-04-07T07:08:39.000Z,4,31,1115,29,2,7,440,220,NO
8,1,2019-04-08T10:54:37.000Z,4,31,1189,28,2,10,440,220,NO
9,1,2019-04-11T10:12:12.000Z,2,31,381,19,2,10,440,220,NO
10,1,2019-04-16T07:55:22.000Z,7,32,2037,42,1,12,300,300,NO
11,1,2019-04-09T08:31:18.000Z,2,33,648,9,2,7,700,350,NO
12,1,2019-04-09T08:31:18.000Z,2,34,648,9,1,8,245,245,NO
13,1,2019-04-08T08:33:55.000Z,2,35,15,6,1,11,310,310,NO
14,1,2019-04-13T10:00:38.000Z,2,37,682,16,2,6,600,300,NO
15,1,2019-04-09T08:31:18.000Z,2,4,648,9,1,1,2045,2045,NO
16,1,2019-04-15T09:33:22.000Z,4,42,1435,26,1,3,250,250,NO
17,1,2019-04-03T13:26:51.000Z,7,44,2094,42,1,23,250,250,NO
18,1,2019-04-07T10:16:40.000Z,2,45,608,20,1,11,300,300,NO
19,1,2019-04-27T10:05:48.000Z,7,5,1957,42,1,1,1500,1500,NO
20,1,2019-04-26T06:45:16.000Z,7,51,1964,44,2,2,600,300,NO
21,1,2019-04-10T10:18:16.000Z,2,52,160,20,2,10,500,250,NO
22,1,2019-04-20T10:54:46.000Z,2,55,120,9,1,5,400,400,NO
23,1,2019-04-05T17:27:40.000Z,2,56,169,17,1,12,255,255,NO
24,1,2019-04-28T07:41:44.000Z,4,56,1621,30,2,17,510,255,NO
25,1,2019-04-13T08:05:12.000Z,7,57,2039,45,2,9,620,310,NO
26,1,2019-04-03T15:55:36.000Z,4,58,1050,12,1,10,350,350,NO
27,1,2019-04-12T10:13:54.000Z,2,59,490,18,2,8,900,450,NO
28,1,2019-04-13T07:28:25.000Z,4,61,1667,30,2,11,950,475,NO
29,1,2019-04-13T10:00:38.000Z,2,63,682,16,1,5,80,80,NO
30,1,2019-04-03T13:26:51.000Z,7,70,2094,42,1,2,325,325,NO
31,1,2019-04-05T17:27:40.000Z,2,70,169,17,1,7,325,325,NO
32,1,2019-04-10T09:22:57.000Z,4,73,1473,26,1,4,375,375,NO
33,1,2019-04-11T10:12:12.000Z,2,83,381,19,1,5,1400,1400,NO
